PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,SmallFamily,LargeFamily,HasCabin,TicketPrefix,HasTicketPrefix,FarePerPerson,IsChild,IsAdult,IsElderly,NameLength,AgeGroup,FareBin,FarePerPersonBin,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,Survived
1,3,1,22.0,1,0,7.25,2,0,1,0,0,A,1,3.625,0,1,0,23,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,0,38.0,1,0,71.2833,2,0,1,0,1,PC,1,35.64165,0,1,0,51,3,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3,3,0,26.0,0,0,7.925,1,1,0,0,0,STON,1,7.925,0,1,0,22,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
4,1,0,35.0,1,0,53.1,2,0,1,0,1,None,0,26.55,0,1,0,44,2,4,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
5,3,1,35.0,0,0,8.05,1,1,0,0,0,None,0,8.05,0,1,0,24,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
6,3,1,25.0,0,0,8.4583,1,1,0,0,0,None,0,8.4583,0,1,0,16,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7,1,1,54.0,0,0,51.8625,1,1,0,0,1,None,0,51.8625,0,1,0,23,3,4,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
8,3,1,2.0,3,1,21.075,5,0,0,1,0,None,0,4.215,1,0,0,30,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9,3,0,27.0,0,2,11.1333,3,0,1,0,0,None,0,3.7111,0,1,0,49,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
10,2,0,14.0,1,0,30.0708,2,0,1,0,0,None,0,15.0354,1,0,0,35,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
11,3,0,4.0,1,1,16.7,3,0,1,0,1,PP,1,5.566666666666666,1,0,0,31,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
12,1,0,58.0,0,0,26.55,1,1,0,0,1,None,0,26.55,0,1,0,24,3,3,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
13,3,1,20.0,0,0,8.05,1,1,0,0,0,A,1,8.05,0,1,0,30,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
14,3,1,39.0,1,5,31.275,7,0,0,1,0,None,0,4.4678571428571425,0,1,0,27,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
15,3,0,14.0,0,0,7.8542,1,1,0,0,0,None,0,7.8542,1,0,0,36,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
16,2,0,55.0,0,0,16.0,1,1,0,0,0,None,0,16.0,0,1,0,32,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
